"Dependency","OldVersion","Candidate","Source"
"AntWpf","1.0.5","1.0.5","https://www.nuget.org/packages/AntWpf"
"Costura.Fody","6.2.0","6.2.0","https://www.nuget.org/packages/Costura.Fody"
"Fody","6.9.3","6.9.3","https://www.nuget.org/packages/Fody"
"MaterialDesignThemes","5.3.2","5.3.2","https://www.nuget.org/packages/MaterialDesignThemes"
"Microsoft.ML.OnnxRuntime.DirectML","1.24.4","1.24.4","https://www.nuget.org/packages/Microsoft.ML.OnnxRuntime.DirectML"
"JYPPX.TensorRT.CSharp.API","0.0.5.2","4.0.6170","https://www.nuget.org/packages/JYPPX.TensorRT.CSharp.API"
"JYPPX.TensorRT.CSharp.API.runtime.win-x64.cuda12","0.0.5","0.0.5","https://www.nuget.org/packages/JYPPX.TensorRT.CSharp.API.runtime.win-x64.cuda12"
"MouseKeyHook","5.7.1","5.7.1","https://www.nuget.org/packages/MouseKeyHook"
"Newtonsoft.Json","13.0.4","13.0.4","https://www.nuget.org/packages/Newtonsoft.Json"
"Supercluster.KDTree","1.0.4","1.0.4","https://www.nuget.org/packages/Supercluster.KDTree"
"System.Management","10.0.8","10.0.11","https://www.nuget.org/packages/System.Management"
"System.Net.Http","4.3.4","4.3.4","https://www.nuget.org/packages/System.Net.Http"
"System.Text.RegularExpressions","4.3.1","4.3.1","https://www.nuget.org/packages/System.Text.RegularExpressions"
"Vortice.Direct3D11","3.8.3","3.8.3","https://www.nuget.org/packages/Vortice.Direct3D11"
"Vortice.Direct3D12","3.8.3","3.8.3","https://www.nuget.org/packages/Vortice.Direct3D12"
"Vortice.DirectX","3.8.3","3.8.3","https://www.nuget.org/packages/Vortice.DirectX"
"Vortice.DXGI","3.8.3","3.8.3","https://www.nuget.org/packages/Vortice.DXGI"
"XamlRadialProgressBar","1.0.3","1.0.3","https://www.nuget.org/packages/XamlRadialProgressBar"
