"Path","Comparison","Category","CustomBytes","UpstreamBytes","CustomSHA256","UpstreamSHA256"
".gitattributes","Custom-only","Source-resource","91",,"9A478B37FFB68E3BBC0981B0073258528D11F5554F512B7C1F4D5B12A7B94838",
".gitignore","Custom-only","Source-resource","227",,"210AAD7FF8DEBE8BE0C9722C419BDC1F0D2C1E375DDDFBCDB7FB71AD8BA6A724",
".vs/Aimmy2/CopilotIndices/18.0.988.22099/CodeChunks.db","Custom-only","Build-or-runtime-review","987136",,"32929C9DCFFFD198689D90CA58B22F9C9B095DE5F49CA12A73120A30F0FA07D0",
".vs/Aimmy2/CopilotIndices/18.0.988.22099/SemanticSymbols.db","Custom-only","Build-or-runtime-review","495616",,"768BC0CFCD1AAC2F64326F5B81A4AE9F2E17C71AF09204C096F63A25D1E589AE",
".vs/Aimmy2/DesignTimeBuild/.dtbcache.v2","Custom-only","Build-or-runtime-review","127925",,"AA839E53FCFE7622D1F0B057453338C60BE8C72C072820DBD32EE08390E4989E",
".vs/Aimmy2/FileContentIndex/071068f9-138c-4444-b600-16ceb6345e0f.vsidx","Custom-only","Build-or-runtime-review","74449",,"DF189A599EBA85FD59277E9551ED9CA8EB03815D7DB8F5F65F05765B4E2EF8AA",
".vs/Aimmy2/FileContentIndex/36646fd5-cc61-4db4-8f8d-e1be66c7b068.vsidx","Custom-only","Build-or-runtime-review","68100",,"B7EC45E6D5DC6712958DCC07DCBABD6588C50EB7174151DA356E845A46FE8FE3",
".vs/Aimmy2/FileContentIndex/53eb5709-a993-4985-812e-26ed887bff1c.vsidx","Custom-only","Build-or-runtime-review","491260",,"8195D5A6EFFEA0AFB5DAC14581349B6A97EEFDF7154FA82E7C820F834F006619",
".vs/Aimmy2/FileContentIndex/7b695ff4-0c81-4b2e-860a-3f283b80719b.vsidx","Custom-only","Build-or-runtime-review","157496",,"C0CFA6F8450AAED166582CC8F77802C517D474BB8AB9C5E310EC7F4FB877825B",
".vs/Aimmy2/FileContentIndex/9e1d6386-dcfa-444e-9a1f-fe04230aa168.vsidx","Custom-only","Build-or-runtime-review","149739",,"7C566442ACD83928EC2635A5F9C2B08ECFBE871B0D9796176B50BBBA6777D9EC",
".vs/Aimmy2/v18/.futdcache.v2","Custom-only","Build-or-runtime-review","1903",,"0C04416407CDF62E6FBCA38A687C5618D77C7AA45325E3F9CD153C3F8B5A9B95",
".vs/Aimmy2/v18/.suo","Custom-only","Build-or-runtime-review","42496",,"B1D060012596F837AF4DAE7D3AB74EAE703C368A4ABBA6F4ABCC433D7C86B258",
".vs/Aimmy2/v18/DocumentLayout.backup.json","Custom-only","Build-or-runtime-review","260",,"B7FE119C5604AEE07A013568D1BAA42CD4C8DF3DC53B9166D2549FAB9146C5BA",
".vs/Aimmy2/v18/DocumentLayout.json","Custom-only","Build-or-runtime-review","260",,"B7FE119C5604AEE07A013568D1BAA42CD4C8DF3DC53B9166D2549FAB9146C5BA",
".vs/ProjectEvaluation/aimmy2.metadata.v10.bin","Custom-only","Build-or-runtime-review","6599",,"4D27BD956ABA9AB9AA84CB75DCB14AD0902C52D1FBA5284C74DEF50EFD8BF040",
".vs/ProjectEvaluation/aimmy2.projects.v10.bin","Custom-only","Build-or-runtime-review","718908",,"C4E6A28D9203AF52B3A43EABB18A3F76014CE11B220766DE467B4407DA16E7EA",
".vs/ProjectEvaluation/aimmy2.strings.v10.bin","Custom-only","Build-or-runtime-review","238327",,"A4DD6E7DB893FE2F2DF34EF146329D9874119A7708789C818CA565DDEA46BC95",
"AILogic/AIManager.cs","Different-no-common-base","Source-resource","125697","63857","A6164DBEC04F331B36BE8781BA4D0D0E30F10134F4D7F2FA6762548D4406EDAB","7D052621D0D499C56B6BBC9E2E433407ACFA885F60E2E693A5FBA6751B78B02D"
"AILogic/AimProcessingDecisions.cs","Upstream-only","Source-resource",,"1179",,"76D7F1A9B12914FE7B8DDA021590B677B1D52DB199E3E4B626D5371D4C0B67FB"
"AILogic/CaptureManager.cs","Different-no-common-base","Source-resource","45111","25461","14C25929E31CF2FD418774CF5CB99ACC49C01F51B3AA504695D686666753CC9B","2C6A9BF2001CF7E68832B158A2D8AF6834F9CD1BA9B41AE3872E98B7C8993DB6"
"AILogic/CaptureTargetSelector.cs","Upstream-only","Source-resource",,"973",,"EC37ABBFF010C78D3FF8741CA5202473BDE1018386C07725A03D38F76DFB2C24"
"AILogic/MathUtil.cs","Different-no-common-base","Source-resource","14031","8289","6B14AC075DD6703BC63A94BD3938536DB30E8391D06CD64020EFD3F907524D99","0DE294F18862362F9DB067107754910B8A4ED84E8C702578CF6784DF58042471"
